Date,KO,PEP
2012-08-03,26.780712127685547,49.250213623046875
2012-08-06,26.717771530151367,48.986610412597656
2012-08-07,26.429519653320312,48.85820770263672
2012-08-08,26.35994529724121,49.04743576049805
2012-08-09,26.253925323486328,48.75682067871094
2012-08-10,26.104827880859375,48.750057220458984
2012-08-13,26.041866302490234,48.65544128417969
2012-08-14,26.094884872436523,48.824405670166016
2012-08-15,26.07501792907715,49.08124542236328
2012-08-16,26.207530975341797,49.73006820678711
2012-08-17,26.19428825378418,49.601646423339844
2012-08-20,26.154518127441406,49.56112289428711
2012-08-21,26.015365600585938,49.34484100341797
2012-08-22,25.690675735473633,49.263729095458984
2012-08-23,25.253334045410156,49.1082763671875
2012-08-24,25.491872787475586,49.37862777709961
2012-08-27,25.2930850982666,49.45296859741211
2012-08-28,25.180438995361328,49.419189453125
2012-08-29,24.822614669799805,49.18937301635742
2012-08-30,24.61057472229004,48.78384780883789
2012-08-31,24.782861709594727,48.95282745361328
2012-09-04,24.70333480834961,48.986610412597656
2012-09-05,24.855743408203125,48.7128791809082
2012-09-06,25.27983856201172,49.12824249267578
2012-09-07,25.114164352416992,49.094200134277344
2012-09-10,24.955137252807617,48.91716766357422
2012-09-11,25.028026580810547,48.74013137817383
2012-09-12,25.051376342773438,47.70513916015625
2012-09-13,25.585098266601562,48.263484954833984
2012-09-14,25.43166160583496,47.97750473022461
2012-09-17,25.585098266601562,47.92983627319336
2012-09-18,25.76523208618164,48.161346435546875
2012-09-19,25.698514938354492,48.243064880371094
2012-09-20,25.778568267822266,48.50860595703125
2012-09-21,25.371614456176758,48.038795471191406
2012-09-24,25.43166160583496,48.14091491699219
2012-09-25,25.138107299804688,47.90260696411133
2012-09-26,25.191478729248047,47.950252532958984
2012-09-27,25.55841064453125,48.100067138671875
2012-09-28,25.304908752441406,48.18857955932617
2012-10-01,25.605117797851562,48.10688781738281
2012-10-02,25.57843017578125,48.086456298828125
2012-10-03,25.51171112060547,48.14091491699219
2012-10-04,25.571760177612305,48.25667953491211
2012-10-05,25.738542556762695,48.41328048706055
2012-10-08,25.738542556762695,48.474578857421875
2012-10-09,25.72520637512207,48.420108795166016
2012-10-10,25.41164207458496,47.86174392700195
2012-10-11,25.424985885620117,47.541717529296875
2012-10-12,25.505033493041992,47.69831848144531
2012-10-15,25.43832015991211,47.89578628540039
2012-10-16,25.284870147705078,47.868560791015625
2012-10-17,25.178144454956055,47.73237609863281
2012-10-18,25.24485206604004,48.1817741394043
2012-10-19,24.951316833496094,47.582557678222656
2012-10-22,24.837888717651367,47.391910552978516
2012-10-23,24.424266815185547,46.65650939941406
2012-10-24,24.604393005371094,46.57480239868164
2012-10-25,24.74449348449707,46.90845489501953
2012-10-26,24.71113395690918,46.96974563598633
2012-10-31,24.804534912109375,47.14677810668945
2012-11-01,24.904613494873047,47.282962799072266
2012-11-02,24.73781967163086,47.01742172241211
2012-11-05,24.53101921081543,46.983360290527344
2012-11-06,24.964645385742188,47.2216911315918
2012-11-07,24.49764633178711,46.97654724121094
2012-11-08,24.257476806640625,46.840362548828125
2012-11-09,24.21077537536621,46.881229400634766
2012-11-12,24.07067108154297,46.717803955078125
2012-11-13,24.12405014038086,46.697391510009766
2012-11-14,24.02397346496582,46.41819381713867
2012-11-15,24.304180145263672,46.431819915771484
2012-11-16,24.390913009643555,46.51353454589844
2012-11-19,24.844558715820312,46.83355712890625
2012-11-20,24.851238250732422,46.92207717895508
2012-11-21,24.94463539123535,47.1944465637207
2012-11-23,25.304908752441406,47.79365539550781
2012-11-26,24.92462158203125,47.664276123046875
2012-11-27,24.964645385742188,47.73917770385742
2012-11-28,25.22998809814453,47.90260696411133
2012-11-29,25.505390167236328,47.875370025634766
2012-11-30,25.47179412841797,47.80727005004883
2012-12-03,25.109067916870117,47.57577133178711
2012-12-04,24.954574584960938,47.56894302368164
2012-12-05,25.062055587768555,47.83449935913086
2012-12-06,25.109067916870117,48.047218322753906
2012-12-07,25.330739974975586,48.211917877197266
2012-12-10,25.28372573852539,48.177589416503906
2012-12-11,25.43149757385254,48.32168960571289
2012-12-12,25.28372573852539,48.19819641113281
2012-12-13,25.256845474243164,48.177589416503906
2012-12-14,25.29715347290039,48.14329147338867
2012-12-17,25.189682006835938,48.28739547729492
2012-12-18,25.041893005371094,48.39717102050781
2012-12-19,24.706035614013672,47.95115280151367
2012-12-20,24.887409210205078,48.10898971557617
2012-12-21,24.779924392700195,47.779605865478516
2012-12-24,24.672452926635742,47.642372131347656
2012-12-26,24.464216232299805,47.23752212524414
2012-12-27,24.464216232299805,47.1208610534668
2012-12-28,24.161941528320312,46.674835205078125
2012-12-31,24.35002326965332,46.956180572509766
2013-01-02,25.256845474243164,47.57374954223633
2013-01-03,25.256845474243164,47.5943489074707
2013-01-04,25.29715347290039,47.662960052490234
2013-01-07,25.055339813232422,47.65609359741211
2013-01-08,24.88068389892578,47.800201416015625
2013-01-09,24.873960494995117,48.04037857055664
2013-01-10,24.826950073242188,48.589324951171875
2013-01-11,24.79336929321289,48.63734817504883
2013-01-14,24.84710121154785,48.91869354248047
2013-01-15,25.068763732910156,49.131404876708984
2013-01-16,25.068763732910156,49.049072265625
2013-01-17,25.196395874023438,49.700950622558594
2013-01-18,25.32402992248535,49.73527145385742
2013-01-22,24.941144943237305,49.543121337890625
2013-01-23,24.941144943237305,49.2755012512207
2013-01-24,24.92770767211914,49.563720703125
2013-01-25,24.887409210205078,49.74213409423828
2013-01-28,24.86053466796875,49.824459075927734
2013-01-29,25.135934829711914,50.05092239379883
2013-01-30,25.189682006835938,50.236183166503906
2013-01-31,25.015026092529297,49.98914337158203
